Product Name,Unit Price,Availability,Description Summary,Reference URL
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,In stock,"In this layered collage of memory within memory, Hale recreates for readers her kaleidoscopic e...",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A Murder in Time,£16.64,In stock,"Beautiful and brilliant, Kendra Donovan is a rising star at the FBI. Yet her path to profession...",https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
A Flight of Arrows (The Pathfinders #2),£55.53,In stock,October 1776--August 1777It is said that what a man sows he will reap--and for such a harvest t...,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Fierce and Subtle Poison,£28.13,In stock,"Everyone knows the legends about the cursed girl--Isabel, the one the señoras whisper about. Th...",https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,In stock,"A thrilling, seductive new series from New York Times bestselling author Sarah J. Maas, blendin...",https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,In stock,Who You Think You Are is Not as Important as Who God Says You AreMany of us wrestle with the ga...,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
You Are What You Love: The Spiritual Power of Habit,£21.87,In stock,"You are what you love. But you might not love what you think.In this book, award-winning author...",https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,"MAY THE VERSE BE WITH YOU!Return once more to a galaxy far, far away with this sublime retellin...",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
Tuesday Nights in 1980,£21.04,In stock,"“In one sentence, Ms. Prentiss captures a sense of intoxication and possibility that six season...",https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
Tracing Numbers on a Train,£41.60,In stock,Start preparing children for classroom success with Tracing Numbers on a Train! This educationa...,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
Throne of Glass (Throne of Glass #1),£35.07,In stock,An alternate cover edition can be found here.After serving out a year of hard labor in the salt...,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,In stock,"From the authors of the New York Times bestseller George Washington’s Secret Six ,the little-kn...",https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Thirteen Reasons Why,£52.72,In stock,Clay Jensen returns home from school to find a mysterious box with his name on it lying on his ...,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,In stock,A monk leads a simple life. He studies his books late into the evening and searches for truth i...,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
The Wedding Dress,£24.12,In stock,"Four brides. One Dress.A tale of faith, redemption, and timeless love.Charlotte owns a chic Bir...",https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
The Vacationers,£42.15,In stock,"An irresistible, deftly observed novel about the secrets, joys, and jealousies that rise to the...",https://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,In stock,NEW YORK TIMES BESTSELLERWALL STREET JOURNAL BESTSELLEROne of America’s most accomplished entre...,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Stranger,£17.44,In stock,This is an alternate cover edition for ISBN 0679720200.Through the story of an ordinary man unw...,https://books.toscrape.com/catalogue/the-stranger_861/index.html
The Shadow Hero (The Shadow Hero),£33.14,In stock,A VIBRANT HOMAGE TO A CLASSIC COMIC FROM TWO MASTERS OF THE MODERN GRAPHIC NOVEL. The Shadow He...,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
The Secret (The Secret #1),£27.37,In stock,"Fragments of a Great Secret have been found in the oral traditions, in literature, in religions...",https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html
The Regional Office Is Under Attack!,£51.36,In stock,"In a world beset by amassing forces of darkness, one organization—the Regional Office—and its c...",https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
The Psychopath Test: A Journey Through the Madness Industry,£36.00,In stock,They say one out of every hundred people is a psychopath. You probably passed one on the street...,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html
The Project,£10.65,In stock,"Welcome to Adrianna, a new country isolated for years and shrouded in mystery. It’s home to the...",https://books.toscrape.com/catalogue/the-project_856/index.html
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,In stock,Ekhart Tolle's message is simple: living in the now is the truest path to happiness and enlight...,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,In stock,"What should we have for dinner?"" To one degree or another this simple question assails any crea...",https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,In stock,The long-awaited first cookbook from the creator and host of the Internet’s most popular baking...,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock,"In the village of King's Abbot, a widow's sudden suicide sparks rumors that she murdered her fi...",https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Mistake (Off-Campus #2),£43.29,In stock,He’s a player in more ways than one…College junior John Logan can get any girl he wants. For th...,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,In stock,"Wingman rule number one: don’t fall for a client.After a career-ending accident, former NFL rec...",https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,In stock,Sometimes all you need is a little spark of inspiration to change up your regular cooking routi...,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,In stock,"In Cold Blood meets Adrian Nicole LeBlanc’s Random Family: A harrowing, profoundly personal inv...",https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
The Kite Runner,£41.82,In stock,"Khaled Hosseini's #1 New York Times Bestselling Debut “It may be unfair, but what happens in a ...",https://books.toscrape.com/catalogue/the-kite-runner_847/index.html
The House by the Lake,£36.95,In stock,Anna is content with her well-ordered life in San Francisco. But her world is turned upside dow...,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
The Glittering Court (The Glittering Court #1),£44.28,In stock,"Big and sweeping, spanning from the refined palaces of Osfrid to the gold dust and untamed fore...",https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html
The Girl on the Train,£55.02,In stock,The debut psychological thriller that will forever change the way you look at other people's li...,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html
The Genius of Birds,£17.24,In stock,"Birds are astonishingly intelligent creatures. In fact, according to revolutionary new research...",https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Emerald Mystery,£23.15,In stock,Three young adults are invited to spend a weekend at the exotic Timber Island. Maria is a profe...,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,In stock,Wildly popular Cookies & Cups blogger Shelly Jaronsky’s eagerly anticipated cookbook features a...,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,In stock,No description found,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,In stock,"""Without The Artist's Way, there would have been no Eat, Pray, Love.” —Elizabeth GilbertThe Art...",https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
The Art of War,£33.34,In stock,"Conflict is an inevitable part of life, according to this ancient Chinese classic of strategy, ...",https://books.toscrape.com/catalogue/the-art-of-war_838/index.html
The Argonauts,£10.93,In stock,"An intrepid voyage out to the frontiers of the latest thinking about love, language, and family...",https://books.toscrape.com/catalogue/the-argonauts_837/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,In stock,Choosing between the stability of a traditional career and the upside of entrepreneurship? Why ...,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
Suddenly in Love (Lake Haven #1),£55.99,In stock,Mia Lassiter is thrilled to finally put her artistic skills to use working for her aunt’s inter...,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,£16.24,In stock,"Katy Lewis has it all: a sports reporting job she loves, a great roommate, and two brothers who...",https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Soft Apocalypse,£26.12,In stock,What happens when resources become scarce and society starts to crumble? As the competition for...,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html
So You've Been Publicly Shamed,£12.23,In stock,"For the past three years, Jon Ronson has traveled the world meeting recipients of high-profile ...",https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,In stock,"In this candid and riveting memoir, for the first time ever, Nike founder and CEO Phil Knight s...",https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html
"Shobu Samurai, Project Aryoku (#3)",£29.06,In stock,"Welcome to the Ark. In a place known as the Six Civilizations all is not as it seems, the six l...",https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html
Secrets and Lace (Fatal Hearts #1),£20.27,In stock,"**WARNING: Due to sexual situations and adult content, this dark romance thriller series is not...",https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html
Scarlett Epstein Hates It Here,£43.55,In stock,"Meet Scarlett Epstein, BNF (Big Name Fan) in her online community of fanfiction writers, world-...",https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,In stock,You all know the tale. Star-crossed lovers meet; all they want is what they cannot have. Each o...,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html
Redeeming Love,£20.47,In stock,"California's gold country, 1850. A time when men sold their souls for a bag of gold and women s...",https://books.toscrape.com/catalogue/redeeming-love_826/index.html
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,In stock,"This book was created by an artist who understands that sometimes, you just need a creative nud...",https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html
Poems That Make Grown Women Cry,£14.19,In stock,"Following the success of their anthology Poems That Make Grown Men Cry, father-and-son team Ant...",https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
"Nightingale, Sing",£38.28,In stock,A teenage vigilante and a ruthless gangster compete to solve a trail of riddles and find a myth...,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html
Night Sky with Exit Wounds,£41.05,In stock,“Reading Vuong is like watching a fish move: he manages the varied currents of English with mus...,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html
Mrs. Houdini,£30.25,In stock,"A captivating debut novel, meticulously researched and beautifully imagined, about the passiona...",https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
Modern Romance,£28.26,In stock,"Now a New York Times BestsellerA hilarious, thoughtful, and in-depth exploration of thepleasure...",https://books.toscrape.com/catalogue/modern-romance_820/index.html
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,In stock,A mysterious island. An abandoned orphanage. A strange collection of curious photographs.A horr...,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,In stock,"An intimate portrait of Louisa Catherine Adams, the wife of John Quincy Adams, who witnessed fi...",https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html
Little Red,£13.47,In stock,"On her way to Grandmas house, Little Red Riding Hood meets a wolf. Now, that might scare some l...",https://books.toscrape.com/catalogue/little-red_817/index.html
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,In stock,A boy with extraordinary powers. An army of deadly monsters. An epic battle for the future of p...,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
Large Print Heart of the Pride,£19.15,In stock,"Paranormal Romance Erotic Werelion Thrill Ride. Book 1 of the Fur, Lust & Magic series.Alexis i...",https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,In stock,The New York Times bestselling authors of Nice Is Just a Place in France and creators of the on...,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,In stock,Miss Peregrine’s Home for Peculiar Childrenwas the surprise best seller of 2011—an unprecedente...,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html
Grumbles,£22.16,In stock,Grumbles is a little Nid that goes on her first day to school and has to answer the question of...,https://books.toscrape.com/catalogue/grumbles_812/index.html
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,In stock,"Acclaimed travel writer Rick Antonson sets his adventurous compass on Mount Ararat, exploring t...",https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
Frostbite (Vampire Academy #2),£29.99,In stock,"WHEN LOVE AND JEALOUSY COLLIDE ON THE SLOPES, WINTER BREAK TURNS DEADLY...Lissa Dragomir is a M...",https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
Follow You Home,£21.36,In stock,"It was supposed to be the trip of a lifetime, a final adventure before settling down.After a pe...",https://books.toscrape.com/catalogue/follow-you-home_809/index.html
First Steps for New Christians (Print Edition),£29.00,In stock,"Our enemy, the devil, prowls around like a lion. (1 Peter 5:8) All he wants to do is steal, kil...",https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html
Finders Keepers (Bill Hodges Trilogy #2),£53.53,In stock,"A masterful, intensely suspenseful novel about a reader whose obsession with a reclusive writer...",https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,In stock,When a savage creature known only as the Adversary conquered the fabled lands of legends and fa...,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Eureka Trivia 6.0,£54.59,In stock,"Eureka Trivia 6.0 is a great trivia book for all Eureka fans. With over 300 questions, this tri...",https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html
Drive: The Surprising Truth About What Motivates Us,£34.95,In stock,"Forget everything you thought you knew about how to motivate people—at work, at school, at home...",https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html
Done Rubbed Out (Reightman & Bailey #1),£37.72,In stock,"In this first book of the Reightman & Bailey Series, deceit, corruption and murder tangle toget...",https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html
Doing It Over (Most Likely To #1),£35.61,In stock,"Voted Most Likely to Succeed, Melanie Bartlett ended up anything but. The down-on-her-luck sing...",https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,In stock,"Delicious plant-based, gluten-free recipes and lifestyle tips for packed lunches, snacks, and s...",https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html
